Period,Total tourists
2012-01-01,164699
2012-02-01,163212
2012-03-01,195656
2012-04-01,211101
2012-05-01,236643
2012-06-01,271178
2012-07-01,310471
2012-08-01,291264
2012-09-01,255464
2012-10-01,215412
2012-11-01,172045
2012-12-01,158717
2013-01-01,170028
2013-02-01,176747
2013-03-01,214411
2013-04-01,230620
2013-05-01,245806
2013-06-01,289039
2013-07-01,331033
2013-08-01,310524
2013-09-01,280046
2013-10-01,240323
2013-11-01,185702
2013-12-01,166485
2014-01-01,191787
2014-02-01,190117
2014-03-01,221128
2014-04-01,239396
2014-05-01,272226
2014-06-01,308575
2014-07-01,353054
2014-08-01,346038
2014-09-01,293970
2014-10-01,260524
2014-11-01,198542
2014-12-01,181899
2015-01-01,208201
2015-02-01,211493
2015-03-01,253297
2015-04-01,269578
2015-05-01,295246
2015-06-01,326276
2015-07-01,372976
2015-08-01,368615
2015-09-01,312744
2015-10-01,272640
2015-11-01,213513
2015-12-01,195691
2016-01-01,223471
2016-02-01,226150
2016-03-01,267070
2016-04-01,286255
2016-05-01,312239
2016-06-01,373707
2016-07-01,415323
2016-08-01,407987
2016-09-01,341460
2016-10-01,304969
2016-11-01,232703
2016-12-01,213775
2017-01-01,246191
2017-02-01,248066
2017-03-01,291409
2017-04-01,317815
2017-05-01,348695
2017-06-01,399423
2017-07-01,436945
2017-08-01,425055
2017-09-01,371671
2017-10-01,320060
2017-11-01,251806
2017-12-01,238507
2018-01-01,262462
2018-02-01,261064
2018-03-01,314573
2018-04-01,335220
2018-05-01,375786
2018-06-01,420625
2018-07-01,469942
2018-08-01,462198
2018-09-01,404818
2018-10-01,343374
2018-11-01,276395
2018-12-01,255284
2019-01-01,266713
2019-02-01,271351
2019-03-01,335560
2019-04-01,352868
2019-05-01,373924
2019-06-01,428854
2019-07-01,486661
2019-08-01,494418
2019-09-01,429056
2019-10-01,362465
2019-11-01,279970
2019-12-01,258815
